eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/eta_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/vmpo_eta_step_0,train/vmpo_eta_step_1,train/vmpo_eta_step_2,train/vmpo_eta_step_3,wall_time
nan,nan,2654208,0.0,0.0,17.435694721341132,0.7535478799138218,81,0.00025081967213114756,1001.0,-210.94339847416813,32,4.330383817106485,2.4368168408051134,8.197052955627441,8.197052955627441,8.197052955627441,8.197052955627441,9064.283347606659
nan,nan,2686976,0.0,0.0,17.421738848090172,0.7641065139323473,82,0.0002502049180327869,1001.0,-208.9402859123349,32,4.3276145428419115,2.8671068966388704,7.8440093994140625,7.8440093994140625,7.8440093994140625,7.8440093994140625,9090.69381737709
nan,nan,2719744,0.0,0.0,17.41099681854248,0.7685829822905361,83,0.0002495901639344262,1001.0,-210.07095147556578,32,4.3258421160280704,2.5496538948267697,8.256326675415039,8.256326675415039,8.256326675415039,8.256326675415039,9117.061993837357
nan,nan,2752512,0.0,0.0,17.411250665783882,0.7692731446586549,84,0.00024897540983606555,1001.0,-212.61993409301823,32,4.32279258146882,3.123484821431339,7.527123928070068,7.527123928070068,7.527123928070068,7.527123928070068,9143.840589046478
nan,nan,2785280,0.0,0.0,17.451163113117218,0.7683599095325917,85,0.0002483606557377049,1001.0,-210.1665267559452,32,4.335215333849192,2.872141866758466,7.905747413635254,7.905747413635254,7.905747413635254,7.905747413635254,9169.690295219421
nan,nan,2818048,0.0,0.0,17.45706962645054,0.7740331953857094,86,0.00024774590163934425,1001.0,-211.27075813255962,32,4.335386151820421,2.421950166858733,7.743132591247559,7.743132591247559,7.743132591247559,7.743132591247559,9195.812358856201
nan,nan,2850816,0.0,0.0,17.44069680571556,0.7674175874795764,87,0.0002471311475409836,1001.0,-204.53608293073,32,4.342475628852844,2.4972802948206665,8.443663597106934,8.443663597106934,8.443663597106934,8.443663597106934,9221.76209139824
-186.78180549627828,4.7622867061365985,2850816,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9265.922569513321
nan,nan,2883584,0.0,0.0,17.43102922141552,0.7823110461700707,88,0.00024651639344262295,1001.0,-206.6632185983764,48,4.3337026000022885,3.1027713699266313,7.698669910430908,7.698669910430908,7.698669910430908,7.698669910430908,9291.198292732239
nan,nan,2916352,0.0,0.0,17.42187081873417,0.7432719679549337,89,0.0002459016393442623,1001.0,-201.36980511409996,32,4.322562518715858,2.258104643318802,8.72966194152832,8.72966194152832,8.72966194152832,8.72966194152832,9318.178703069687
