eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,157696,18.426645587489475,0.07060547173023224,0.15781250596046448,0.24838867783546448,0.990478515625,0.3668212890625,31.15507568717003,418.72800912857053,171.23081455230712,77,0.0002532786885245901,1000.0,-600.4682386447397,2,-11.43400909602642,12.400482556596398,220.57591080665588
nan,nan,159744,17.600106686213984,0.07856445014476776,0.166015625,0.27250975370407104,0.97607421875,0.373291015625,30.920536595582963,400.9863135814667,152.61570925712584,78,0.00025266393442622946,1000.0,-594.0055425281607,2,-11.433269622921944,12.381070433929562,222.82481479644775
nan,nan,161792,17.84401828783739,0.0595703125,0.12880858778953552,0.25996094942092896,0.9786132574081421,0.35673828125,30.690596091747285,414.050062084198,145.47290863990784,79,0.0002520491803278688,1000.0,-597.9887365274529,2,-10.738871814310551,12.36196467857808,224.9963767528534
-598.3118332376966,2.8013003077929945,161792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,228.5863161087036
nan,nan,163840,18.10328627412673,0.05449218675494194,0.14082030951976776,0.25507813692092896,0.981152355670929,0.3578857421875,31.24049950838089,410.46452631950376,169.6007993340492,80,0.00025143442622950816,1000.0,-597.2633775375199,2,-12.287137745320797,12.37891070903279,230.8280508518219
nan,nan,165888,17.358307735447305,0.06586913764476776,0.1494140625,0.296875,0.9578613042831421,0.3675048828125,30.942085272073747,406.50113673210143,138.00514814853668,81,0.00025081967213114756,1000.0,-590.4711898826158,2,-11.486139333248138,12.390313998050988,232.9749460220337
nan,nan,167936,17.62210201070411,0.09218750149011612,0.17539063096046448,0.27373045682907104,0.97216796875,0.378369140625,31.017869931459426,413.37512135505676,133.70991884469987,82,0.0002502049180327869,1000.0,-595.0878070552903,2,-11.854854184389115,12.382224710658193,235.0618178844452
nan,nan,169984,16.572442320990376,0.05947265774011612,0.13124999403953552,0.299072265625,0.96337890625,0.36329345703125,29.584725260734558,388.1752462387085,93.53400869369507,83,0.0002495901639344262,1000.0,-597.8673495527446,2,-8.280242206156254,12.388831607531756,237.339213848114
nan,nan,172032,18.30203676984238,0.10117187350988388,0.16118164360523224,0.27641600370407104,0.979541003704071,0.37957763671875,31.630053907632828,377.9945209980011,174.9142401456833,84,0.00024897540983606555,1000.0,-598.7540972402921,3,-12.975969341397285,17.57398578384891,239.5715730190277
-597.2994873160457,3.747141640195518,172032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,243.17039489746094
nan,nan,174080,17.814116526430006,0.10698242485523224,0.16948242485523224,0.2552246153354645,0.9735351800918579,0.37630615234375,31.363073432445525,413.54511404037476,189.3880516052246,85,0.0002483606557377049,1000.0,-598.1403526461759,2,-11.78747179210186,12.28077835412696,245.39610600471497
nan,nan,176128,17.816798111458773,0.06523437798023224,0.146484375,0.2918945252895355,0.9736328125,0.3693115234375,30.652184307575226,410.9596138954163,161.19441831111908,86,0.00024774590163934425,1000.0,-594.1562679309009,2,-10.211842361092568,12.25680447584018,247.54017782211304
